georgia-st HOMEWINOVER abilene-christian 1 
texas-am AWAYWINOVER south-carolina 1 
la-monroe HOMEWINOVER wake-forest 1 
akron HOMEWINOVER howard 1 
minnesota HOMEWINOVER eastern-ill 1 
northern-ill HOMEWINOVER presbyterian 1 
central-mich HOMEWINOVER chattanooga 1 
utah HOMEWINOVER idaho-st 1 
ole-miss HOMEWINOVER boise-st 1 
new-mexico-st HOMEWINOVER cal-poly 1 
tulsa HOMEWINOVER tulane 1 
temple AWAYWINOVER vanderbilt 1 
rutgers AWAYWINOVER washington-st 1 
san-jose-st HOMEWINOVER north-dakota 1 
arizona-st HOMEWINOVER weber-st 1 
michigan-st HOMEWINOVER jacksonville-st 1 
byu AWAYWINOVER uconn 1 
syracuse HOMEWINOVER villanova 1 
western-ky HOMEWINOVER bowling-green 1 
colorado-st AWAYWINOVER colorado 1 
utsa AWAYWINOVER houston 1 
arizona HOMEWINOVER unlv 1 
florida-st AWAYWINOVER oklahoma-st 1 
alabama HOMEWINOVER west-virginia 1 
oregon HOMEWINOVER south-dakota 1 
oklahoma HOMEWINOVER louisiana-tech 1 
ohio-st AWAYWINOVER navy 1 
auburn HOMEWINOVER arkansas 1 
ucla AWAYWINOVER virginia 1 
stanford HOMEWINOVER uc-davis 1 
georgia HOMEWINOVER clemson 1 
lsu HOMEWINOVER wisconsin 1 
southern-california HOMEWINOVER fresno-st 1 
notre-dame HOMEWINOVER rice 1 
kansas-st HOMEWINOVER stephen-f-austin 1 
nebraska HOMEWINOVER fla-atlantic 1 
north-carolina HOMEWINOVER liberty 1 
missouri HOMEWINOVER south-dakota-st 1 
washington AWAYWINOVER hawaii 1 
penn-st AWAYWINOVER ucf 1 
purdue HOMEWINOVER western-mich 1 
kentucky HOMEWINOVER ut-martin 1 
michigan HOMEWINOVER appalachian-st 1 
iowa HOMEWINOVER uni 1 
pittsburgh HOMEWINOVER delaware 1 
north-dakota-st AWAYWINOVER iowa-st 1 
uab HOMEWINOVER troy 1 
indiana HOMEWINOVER indiana-st 1 
illinois HOMEWINOVER youngstown-st 1 
georgia-tech HOMEWINOVER wofford 1 
north-carolina-st HOMEWINOVER ga-southern 1 
air-force HOMEWINOVER nicholls-st 1 
ball-st HOMEWINOVER colgate 1 
boston-college AWAYWINOVER massachusetts 1 
nevada HOMEWINOVER southern-utah 1 
california AWAYWINOVER northwestern 1 
old-dominion HOMEWINOVER hampton 1 
marshall AWAYWINOVER miami-oh 1 
buffalo HOMEWINOVER duquesne 1 
maryland HOMEWINOVER james-madison 1 
virginia-tech HOMEWINOVER william-mary 1 
oregon-st HOMEWINOVER portland-st 1 
wyoming HOMEWINOVER montana 1 
duke HOMEWINOVER elon 1 
eastern-mich HOMEWINOVER morgan-st 1 
ohio AWAYWINOVER kent-st 1 
texas-tech HOMEWINOVER central-ark 1 
tcu HOMEWINOVER samford 1 
middle-tenn HOMEWINOVER savannah-st 1 
bethune-cookman AWAYWINOVER fiu 1 
san-diego-st HOMEWINOVER northern-ariz 1 
toledo HOMEWINOVER new-hampshire 1 
south-fla HOMEWINOVER western-caro 1 
texas-st HOMEWINOVER ark-pine-bluff 1 
la-lafayette HOMEWINOVER southern-u 1 
arkansas-st HOMEWINOVER montana-st 1 
memphis HOMEWINOVER austin-peay 1 
mississippi-st HOMEWINOVER southern-miss 1 
texas HOMEWINOVER north-texas 1 
utep AWAYWINOVER new-mexico 1 
east-carolina HOMEWINOVER nc-central 1 
baylor HOMEWINOVER smu 1 
tennessee HOMEWINOVER utah-st 1 
louisville HOMEWINOVER miami-fl 1 
arizona AWAYWINOVER utsa 2 
pittsburgh AWAYWINOVER boston-college 2 
nevada HOMEWINOVER washington-st 2 
florida-st HOMEWINOVER citadel 2 
alabama HOMEWINOVER fla-atlantic 2 
oregon HOMEWINOVER michigan-st 2 
oklahoma AWAYWINOVER tulsa 2 
auburn HOMEWINOVER san-jose-st 2 
virginia-tech AWAYWINOVER ohio-st 2 
texas-am HOMEWINOVER lamar 2 
baylor HOMEWINOVER northwestern-st 2 
ucla HOMEWINOVER memphis 2 
lsu HOMEWINOVER sam-houston-st 2 
southern-california AWAYWINOVER stanford 2 
ole-miss AWAYWINOVER vanderbilt 2 
notre-dame HOMEWINOVER michigan 2 
arizona-st AWAYWINOVER new-mexico 2 
wisconsin HOMEWINOVER western-ill 2 
nebraska HOMEWINOVER mcneese-st 2 
kansas-st AWAYWINOVER iowa-st 2 
south-carolina HOMEWINOVER east-carolina 2 
north-carolina HOMEWINOVER san-diego-st 2 
clemson HOMEWINOVER south-carolina-st 2 
missouri AWAYWINOVER toledo 2 
louisville HOMEWINOVER murray-st 2 
tennessee HOMEWINOVER arkansas-st 2 
central-mich AWAYWINOVER purdue 2 
rutgers HOMEWINOVER howard 2 
penn-st HOMEWINOVER akron 2 
illinois HOMEWINOVER western-ky 2 
army HOMEWINOVER buffalo 2 
north-texas HOMEWINOVER smu 2 
uconn HOMEWINOVER stony-brook 2 
navy AWAYWINOVER temple 2 
mississippi-st HOMEWINOVER uab 2 
south-ala AWAYWINOVER kent-st 2 
new-mexico-st AWAYWINOVER georgia-st 2 
colorado AWAYWINOVER massachusetts 2 
california HOMEWINOVER sacramento-st 2 
utah HOMEWINOVER fresno-st 2 
washington HOMEWINOVER eastern-wash 2 
virginia HOMEWINOVER richmond 2 
oklahoma-st HOMEWINOVER missouri-st 2 
kentucky HOMEWINOVER ohio 2 
iowa HOMEWINOVER ball-st 2 
minnesota HOMEWINOVER middle-tenn 2 
northern-ill AWAYWINOVER northwestern 2 
eastern-ky AWAYWINOVER miami-oh 2 
maryland AWAYWINOVER south-fla 2 
bowling-green HOMEWINOVER vmi 2 
arkansas HOMEWINOVER nicholls-st 2 
florida HOMEWINOVER eastern-mich 2 
georgia-tech AWAYWINOVER tulane 2 
north-carolina-st HOMEWINOVER old-dominion 2 
fiu HOMEWINOVER wagner 2 
ga-southern HOMEWINOVER savannah-st 2 
appalachian-st HOMEWINOVER campbell 2 
wake-forest HOMEWINOVER gardner-webb 2 
kansas HOMEWINOVER southeast-mo-st 2 
duke AWAYWINOVER troy 2 
miami-fl HOMEWINOVER florida-am 2 
marshall HOMEWINOVER rhode-island 2 
southern-miss HOMEWINOVER alcorn 2 
louisiana-tech AWAYWINOVER la-lafayette 2 
la-monroe HOMEWINOVER idaho 2 
west-virginia HOMEWINOVER towson 2 
byu AWAYWINOVER texas 2 
utah-st HOMEWINOVER idaho-st 2 
houston HOMEWINOVER grambling 2 
unlv HOMEWINOVER northern-colo 2 
boise-st HOMEWINOVER colorado-st 2 
wyoming HOMEWINOVER air-force 2 
oregon-st AWAYWINOVER hawaii 2 
texas-tech AWAYWINOVER utep 2 
byu HOMEWINOVER houston 3 
louisiana-tech AWAYWINOVER north-texas 3 
baylor AWAYWINOVER buffalo 3 
cincinnati HOMEWINOVER toledo 3 
florida HOMEWINOVER kentucky 3 
oregon HOMEWINOVER wyoming 3 
alabama HOMEWINOVER southern-miss 3 
oklahoma HOMEWINOVER tennessee 3 
south-carolina HOMEWINOVER georgia 3 
texas-am HOMEWINOVER rice 3 
